Sample Number,Fault Code
43,TYPE5
80,TYPE15
83,TYPE2
33,TYPE12
79,TYPE2
8,TYPE16
31,TYPE4
47,TYPE14
95,TYPE11
51,TYPE6
44,TYPE6
81,TYPE13
40,TYPE7
9,TYPE9
24,TYPE11
30,TYPE11
100,TYPE13
49,TYPE4
1,TYPE6
68,TYPE6
12,TYPE9
42,TYPE14
28,TYPE14
93,TYPE16
39,TYPE11
11,TYPE6
50,TYPE4
60,TYPE5
90,TYPE5
98,TYPE15
41,TYPE14
20,TYPE9
97,TYPE5
89,TYPE14
6,TYPE1
3,TYPE1
37,TYPE3
67,TYPE16
70,TYPE11
25,TYPE3
32,TYPE7
64,TYPE3
92,TYPE6
62,TYPE6
19,TYPE5
26,TYPE16
55,TYPE1
85,TYPE11
59,TYPE2
29,TYPE3
77,TYPE11
23,TYPE7
66,TYPE16
99,TYPE7
84,TYPE5
102,TYPE5
72,TYPE11
2,TYPE7
69,TYPE6
76,TYPE13
63,TYPE11
5,TYPE2
10,TYPE5
61,TYPE4
88,TYPE4
53,TYPE2
17,TYPE16
36,TYPE6
46,TYPE14
38,TYPE16
15,TYPE6
14,TYPE16
75,TYPE11
16,TYPE6
56,TYPE11
58,TYPE16
27,TYPE4
82,TYPE6
65,TYPE7
13,TYPE12
7,TYPE12
87,TYPE5
74,TYPE11
21,TYPE3
91,TYPE1
54,TYPE6
73,TYPE6
52,TYPE3
22,TYPE7
18,TYPE7
78,TYPE5
48,TYPE2
94,TYPE5
35,TYPE1
86,TYPE16
71,TYPE7
57,TYPE9
45,TYPE11
96,TYPE1
4,TYPE7
34,TYPE0
101,TYPE12
